SPS1_1,SPS2_2,SPS2_3,SPS2_4,SPS2_5,SADBNK1,SADBNK2,SADBNK3,SADBNK4,SADBNK5,SADBNK6,SADBNK7,SADBNK8,SADBNK9,SADBNK10,SADBNK11,SADBNK12,SADBNK13,SADBNK14,SADBNK15,SADBNK16,SADBNK17,SADBNK18,SADBNK19,SADBNK20,SADBNK21,SADBNK22,SADBNK23,SADBNK24,SADBNK25,SADBNK26,SOPHStot,SOCtot
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,1,0,8
3,3,3,3,3,3,3,4,2,4,2,4,4,2,4,3,3,1,4,4,3,3,3,4,3,2,4,4,2,4,3,15,82
1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,3,2,1,2,2,2,3,3,1,1,5,43
1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,3,0,1,3,14
1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3,7
1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,0,0,1,1,1,0,1,1,2,1,0,2,1,17
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,4,5
1,0,1,0,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2,1,0,1,2,1,2,1,2,4,34
1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,1,1,11
3,2,2,0,4,1,1,2,2,1,0,4,2,1,2,2,2,0,2,2,1,2,2,1,1,2,3,1,1,1,1,11,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
0,0,0,0,0,2,0,1,2,1,1,1,1,0,2,1,1,1,2,2,2,1,1,2,1,1,2,1,2,0,2,0,33
